"","x"
"1189","Rgsl1"
"1190","Teddm2"
"1191","Teddm1b"
"1192","Teddm1a"
"1193","Glul"
"1194","Gm29290"
"1195","Gm29291"
"1196","Gm28286"
"1197","A830008E24Rik"
"1198","Zfp648"
"1199","4930452N14Rik"
"1200","4930532M18Rik"
"1201","Cacna1e"
"1202","Gm29282"
"1203","Gm9530"
"1204","Ier5"
"1205","Mr1"
"1206","Stx6"
"1207","BC034090"
"1208","Gm37622"
"1209","Xpr1"
"1210","Gm5532"
"1211","Acbd6"
"1212","Lhx4"
"1213","Qsox1"
"1214","Gm37571"
"1215","Cep350"
"1216","Tor1aip1"
"1217","Tor1aip2"
"1218","Fam163a"
"1219","Tdrd5"
"1220","4930518J20Rik"
"1221","Nphs2"
"1222","Axdnd1"
"1223","Gm2000"
"1224","Soat1"
"1225","Gm10031"
"1226","Abl2"
"1227","Tor3a"
"1228","Fam20b"
"1229","Ralgps2"
"1230","Angptl1"
"1231","4930439D14Rik"
"1232","Gm28694"
"1233","Tex35"
"1234","Rasal2"
"1235","BC026585"
"1236","Gm15486"
"1237","Sec16b"
"1238","Brinp2"
"1239","Astn1"
"1240","Gm37679"
"1241","Pappa2"
"1242","1600012P17Rik"
"1243","4930562F17Rik"
"1244","Rfwd2"
"1245","Tnr"
"1246","Gm38039"
"1247","Gm37294"
"1248","4930523C07Rik"
"1249","4930562F07Rik"
"1250","Tnn"
"1251","Mrps14"
"1252","Cacybp"
"1253","Rabgap1l"
"1254","Gm36975"
"1255","Gm37083"
"1256","Gm38060"
"1257","Rc3h1"
"1258","Serpinc1"
"1259","Zbtb37"
"1260","Gm37362"
"1261","Dars2"
"1262","Gm37634"
"1263","Cenpl"
"1264","Klhl20"
"1265","Ankrd45"
"1266","4930469G21Rik"
"1267","Prdx6"
"1268","Tnfsf4"
"1269","Tnfsf18"
"1270","Fasl"
"1271","Suco"
"1272","Gm31925"
"1273","4930558K02Rik"
"1274","Pigc"
"1275","Gm38304"
"1276","Dnm3"
"1277","2810442N19Rik"
"1278","Dnm3os"
"1279","Mettl13"
"1280","Vamp4"
"1281","Myoc"
"1282","7420461P10Rik"
"1283","Prrc2c"
"1284","Fmo4"
"1285","Fmo1"
"1286","Fmo2"
"1287","Fmo6"
"1288","Fmo3"
"1289","Gm37273"
"1290","Mroh9"
"1291","Prrx1"
"1292","Gm20471"
"1293","Gm26523"
"1294","Gorab"
"1295","Gm29500"
"1296","Mettl11b"
"1297","Kifap3"
"1298","Scyl3"
"1299","BC055324"
"1300","Mettl18"
"1301","Sele"
"1302","Sell"
"1303","Selp"
"1304","Gm16587"
"1305","Gm16548"
"1306","F5"
"1307","Slc19a2"
"1308","Ccdc181"
"1309","Blzf1"
"1310","Nme7"
"1311","Atp1b1"
"1312","Gm32391"
"1313","Gm26685"
"1314","Gm37754"
"1315","Gm37853"
"1316","Gm37184"
"1317","Gm36945"
"1318","Dpt"
"1319","Gm32569"
"1320","Xcl1"
"1321","1700029M03Rik"
"1322","4930568G15Rik"
